1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
59.43;91.51;81.13;91.51;84.91;91.51;91.51;91.51;91.51;84.91;91.51;91.51;91.51;91.51;91.51;91.51
58.52;76.30;62.22;71.85;69.63;76.30;76.30;76.30;71.85;69.63;71.85;76.30;76.30;76.30;71.85;76.30
63.33;82.50;77.92;81.25;80.42;82.50;83.33;83.75;81.25;81.67;81.67;83.33;83.75;83.75;81.67;83.75
81.25;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
96.30;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
72.07;92.79;90.99;91.89;90.09;92.79;92.79;92.79;91.89;92.79;92.79;92.79;92.79;92.79;92.79;92.79
90.38;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08;98.08
89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83;89.83
96.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
87.06;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
90.00;96.67;97.78;97.78;93.33;97.78;97.78;97.78;97.78;97.78;97.78;97.78;97.78;97.78;97.78;97.78
92.86;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11;99.11
85.57;91.75;89.69;90.72;90.72;91.75;91.75;91.75;90.72;91.75;91.75;91.75;91.75;91.75;91.75;91.75
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
77.59;87.93;74.14;91.38;74.14;87.93;94.83;87.93;94.83;74.14;94.83;94.83;87.93;94.83;94.83;94.83
80.30;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94;93.94
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89;91.89
96.49;96.49;98.25;96.49;100.00;98.25;96.49;100.00;98.25;100.00;100.00;98.25;100.00;100.00;100.00;100.00
100.00;100.00;84.21;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
